interaction_type	interaction
0	Unknown
1	The risk or severity of bleeding can be increased when #Drug1 is combined with #Drug2.
2	The risk or severity of bleeding and hemorrhage can be increased when #Drug1 is combined with #Drug2.
3	The therapeutic efficacy of #Drug1 can be decreased when used in combination with #Drug2.
4	#Drug2 may increase the anticoagulant activities of #Drug1.
5	#Drug1 may increase the anticoagulant activities of #Drug2.
6	The risk or severity of adverse effects can be increased when #Drug1 is combined with #Drug2.
7	The therapeutic efficacy of #Drug2 can be decreased when used in combination with #Drug1.
8	The therapeutic efficacy of #Drug1 can be increased when used in combination with #Drug2.
9	The risk or severity of gastrointestinal bleeding can be increased when #Drug1 is combined with #Drug2.
10	#Drug2 may decrease the excretion rate of #Drug1 which could result in a higher serum level.
11	#Drug1 may decrease the excretion rate of #Drug2 which could result in a higher serum level.
12	The risk or severity of QTc prolongation can be increased when #Drug1 is combined with #Drug2.
13	The risk or severity of myopathy, rhabdomyolysis, and myoglobinuria can be increased when #Drug1 is combined with #Drug2.
14	The risk or severity of methemoglobinemia can be increased when #Drug1 is combined with #Drug2.
15	#Drug2 may increase the excretion rate of #Drug1 which could result in a lower serum level and potentially a reduction in efficacy.
16	The serum concentration of #Drug2 can be increased when it is combined with #Drug1.
17	The risk or severity of bradycardia can be increased when #Drug1 is combined with #Drug2.
18	#Drug1 may increase the neuromuscular blocking activities of #Drug2.
19	The risk or severity of hypertension can be increased when #Drug1 is combined with #Drug2.
20	#Drug1 may decrease the antihypertensive activities of #Drug2.
21	#Drug2 may decrease the antihypertensive activities of #Drug1.
22	#Drug1 may increase the excretion rate of #Drug2 which could result in a lower serum level and potentially a reduction in efficacy.
23	The risk or severity of hypotension can be increased when #Drug1 is combined with #Drug2.
24	The serum concentration of #Drug1 can be increased when it is combined with #Drug2.
25	The serum concentration of #Drug2 can be decreased when it is combined with #Drug1.
26	The serum concentration of #Drug1 can be decreased when it is combined with #Drug2.
27	The excretion of #Drug1 can be decreased when combined with #Drug2.
28	The metabolism of #Drug1 can be decreased when combined with #Drug2.
29	The metabolism of #Drug2 can be decreased when combined with #Drug1.
30	#Drug2 may increase the immunosuppressive activities of #Drug1.
31	The therapeutic efficacy of #Drug2 can be increased when used in combination with #Drug1.
32	#Drug1 may increase the neurotoxic activities of #Drug2.
33	The risk or severity of nephrotoxicity can be increased when #Drug1 is combined with #Drug2.
